,image,quality
0,10218_left.png,1
1,10230_right.png,1
2,10234_right.png,1
3,10340_left.png,0
4,10391_right.png,0
5,1040_right.png,0
6,10444_left.png,1
7,10468_right.png,0
8,10503_left.png,1
9,10534_left.png,1
10,10558_right.png,0
11,10647_left.png,0
12,10694_left.png,1
13,10732_left.png,1
14,10781_right.png,0
15,10794_right.png,0
16,10835_left.png,0
17,10854_right.png,1
18,10915_left.png,0
19,10919_left.png,0
20,10960_left.png,1
21,10961_right.png,0
22,11091_right.png,0
23,111_left.png,1
24,11101_left.png,0
25,11157_right.png,0
26,1116_right.png,1
27,11228_left.png,1
28,1123_right.png,1
29,11326_right.png,1
30,1133_left.png,1
31,11365_left.png,1
32,11393_right.png,0
33,1140_left.png,1
34,11420_left.png,1
35,11490_right.png,1
36,115_right.png,1
37,11550_left.png,0
38,11584_left.png,1
39,11616_left.png,0
40,11623_right.png,1
41,11638_right.png,0
42,11734_left.png,0
43,11759_right.png,1
44,11781_right.png,0
45,11858_right.png,0
46,11926_right.png,0
47,12126_left.png,0
48,12146_left.png,0
49,12168_left.png,1
50,12168_right.png,1
51,12247_right.png,1
52,12286_left.png,0
53,12329_left.png,1
54,12464_right.png,1
55,12527_left.png,0
56,12563_left.png,1
57,12565_right.png,0
58,12591_right.png,0
59,12602_left.png,0
60,12630_left.png,1
61,1266_left.png,1
62,12715_left.png,1
63,12779_right.png,1
64,12799_left.png,1
65,12866_right.png,1
66,12918_right.png,1
67,12937_left.png,0
68,12947_right.png,1
69,12950_left.png,0
70,12965_left.png,0
71,12971_right.png,0
72,13022_left.png,1
73,13051_left.png,1
74,13065_left.png,0
75,13069_right.png,1
76,13178_left.png,0
77,13210_left.png,0
78,13210_right.png,0
79,1322_right.png,0
80,13274_left.png,0
81,13276_right.png,1
82,13299_left.png,1
83,13309_right.png,0
84,13333_right.png,1
85,13431_right.png,1
86,13458_left.png,1
87,13458_right.png,1
88,13494_left.png,1
89,13499_left.png,1
90,13504_right.png,1
91,13541_right.png,0
92,13584_left.png,0
93,13588_right.png,1
94,13638_right.png,0
95,13708_left.png,0
96,13786_left.png,1
97,13807_left.png,0
98,13844_left.png,0
99,13845_left.png,0
100,13848_right.png,1
101,13875_left.png,1
102,13945_right.png,1
103,13952_right.png,0
104,13999_left.png,1
105,14046_left.png,0
106,14056_right.png,0
107,1407_left.png,1
108,14154_right.png,1
109,14193_right.png,1
110,14219_left.png,1
111,14282_left.png,1
112,14328_right.png,0
113,14440_left.png,0
114,14440_right.png,0
115,14522_right.png,0
116,14588_left.png,0
117,14615_right.png,0
118,14620_left.png,1
119,14620_right.png,1
120,14630_left.png,0
121,1475_left.png,1
122,1480_left.png,1
123,14835_left.png,1
124,14842_left.png,0
125,14852_right.png,0
126,14856_right.png,1
127,14863_right.png,1
128,14877_left.png,1
129,14898_right.png,0
130,14899_left.png,0
131,14915_left.png,1
132,14973_right.png,0
133,15061_left.png,1
134,15062_left.png,1
135,15125_left.png,0
136,15165_right.png,0
137,15205_left.png,0
138,15216_left.png,0
139,15222_right.png,0
140,15302_left.png,1
141,15408_right.png,1
142,15506_left.png,0
143,15528_right.png,1
144,15529_right.png,1
145,15551_right.png,0
146,15640_right.png,0
147,15696_left.png,1
148,15696_right.png,0
149,15699_right.png,1
150,15732_left.png,1
151,15780_right.png,1
152,15828_right.png,1
153,15884_left.png,1
154,15899_left.png,0
155,15993_right.png,1
156,16009_right.png,0
157,16035_right.png,0
158,16038_left.png,1
159,1608_left.png,0
160,1610_left.png,0
161,16258_right.png,0
162,16265_left.png,0
163,16286_right.png,0
164,16302_left.png,0
165,16310_right.png,0
166,16385_right.png,0
167,16388_left.png,1
168,16466_left.png,1
169,16540_left.png,1
170,1655_right.png,1
171,16652_left.png,1
172,16652_right.png,1
173,1675_left.png,1
174,16802_right.png,0
175,16863_right.png,1
176,16890_left.png,1
177,16899_right.png,1
178,17111_right.png,1
179,17143_left.png,0
180,17148_left.png,1
181,1718_left.png,0
182,1722_left.png,1
183,1722_right.png,0
184,17232_right.png,0
185,17264_right.png,1
186,17308_right.png,0
187,17350_right.png,0
188,1736_right.png,0
189,1737_right.png,1
190,17411_left.png,1
191,17426_left.png,1
192,17426_right.png,1
193,17453_right.png,0
194,17488_right.png,0
195,17567_left.png,0
196,1764_right.png,0
197,17658_left.png,1
198,1772_left.png,1
199,17785_left.png,1
200,1779_left.png,0
201,17814_right.png,0
202,17838_left.png,0
203,17885_left.png,1
204,18001_right.png,1
205,18017_left.png,0
206,18021_left.png,1
207,18028_left.png,0
208,18069_right.png,1
209,18070_left.png,1
210,18071_right.png,0
211,18113_left.png,0
212,18172_right.png,0
213,18201_right.png,1
214,18225_left.png,1
215,18232_right.png,0
216,18257_left.png,1
217,18309_left.png,0
218,18315_left.png,1
219,18345_right.png,0
220,18350_left.png,1
221,18350_right.png,1
222,184_left.png,1
223,18516_left.png,0
224,18536_left.png,0
225,18567_left.png,1
226,18589_right.png,0
227,18644_left.png,1
228,18684_right.png,1
229,18736_left.png,1
230,18842_left.png,0
231,18901_left.png,0
232,18930_left.png,1
233,18939_left.png,1
234,18951_left.png,1
235,19166_left.png,0
236,19166_right.png,0
237,19177_left.png,1
238,1936_left.png,1
239,19368_right.png,1
240,19369_left.png,1
241,19378_left.png,1
242,1943_left.png,1
243,19582_left.png,0
244,19598_right.png,0
245,19612_right.png,0
246,19626_left.png,0
247,19663_right.png,0
248,19800_right.png,0
249,19810_right.png,0
250,19811_left.png,0
251,19843_right.png,0
252,1986_left.png,0
253,19937_right.png,0
254,19960_right.png,0
255,20039_left.png,0
256,20047_left.png,0
257,20066_right.png,0
258,20100_right.png,0
259,20101_right.png,1
260,20118_left.png,0
261,20146_left.png,1
262,20147_left.png,1
263,2016_right.png,1
264,20180_left.png,1
265,20205_left.png,0
266,20271_right.png,1
267,203_left.png,0
268,2030_right.png,1
269,20342_right.png,1
270,20461_right.png,0
271,20506_left.png,0
272,20513_left.png,1
273,20534_right.png,1
274,20596_right.png,0
275,20608_left.png,0
276,20626_left.png,0
277,2065_left.png,1
278,2066_left.png,1
279,20692_right.png,0
280,20730_right.png,0
281,20815_left.png,0
282,20960_left.png,1
283,2097_left.png,0
284,21039_left.png,0
285,21084_left.png,0
286,21188_right.png,1
287,21262_right.png,0
288,21281_left.png,0
289,2132_right.png,1
290,21339_left.png,1
291,21345_left.png,1
292,21383_right.png,0
293,21389_right.png,0
294,2139_right.png,0
295,21409_right.png,0
296,2144_left.png,1
297,21460_right.png,1
298,21510_right.png,0
299,21584_left.png,0
300,21640_left.png,1
301,21655_right.png,0
302,21678_left.png,0
303,21720_right.png,1
304,218_right.png,0
305,2182_right.png,0
306,21820_right.png,0
307,2194_left.png,1
308,21942_right.png,1
309,21973_right.png,0
310,21985_right.png,0
311,22132_left.png,0
312,22207_left.png,0
313,22271_left.png,1
314,22307_left.png,1
315,22330_right.png,1
316,22470_left.png,1
317,22474_right.png,1
318,22556_left.png,1
319,22556_right.png,1
320,2258_left.png,1
321,22716_right.png,0
322,22744_left.png,1
323,22753_left.png,1
324,22760_right.png,0
325,22835_left.png,0
326,22854_right.png,0
327,22872_left.png,0
328,22872_right.png,0
329,22942_left.png,0
330,22981_left.png,1
331,22987_right.png,0
332,23009_right.png,0
333,23039_right.png,0
334,23064_right.png,1
335,23292_left.png,1
336,23318_right.png,1
337,23327_left.png,1
338,23523_right.png,0
339,2362_right.png,1
340,23697_right.png,0
341,23724_left.png,0
342,23734_right.png,0
343,23824_left.png,0
344,23887_right.png,0
345,23949_left.png,1
346,23957_right.png,1
347,23997_right.png,1
348,24102_left.png,0
349,24142_left.png,0
350,24142_right.png,1
351,24159_left.png,1
352,24304_right.png,0
353,24424_left.png,0
354,24469_left.png,1
355,24472_left.png,1
356,2453_right.png,0
357,24533_left.png,0
358,24543_right.png,0
359,24580_left.png,1
360,24641_left.png,1
361,24780_left.png,1
362,24780_right.png,1
363,24795_right.png,1
364,24801_right.png,1
365,2483_left.png,0
366,24931_right.png,1
367,24933_left.png,0
368,24949_right.png,0
369,24971_left.png,0
370,24980_right.png,0
371,2503_right.png,1
372,25073_right.png,0
373,25141_left.png,1
374,25291_left.png,1
375,25317_right.png,1
376,25364_right.png,1
377,25385_right.png,1
378,25396_left.png,1
379,25428_left.png,1
380,25496_right.png,0
381,25579_left.png,1
382,25593_right.png,0
383,25608_left.png,1
384,25632_left.png,1
385,25648_left.png,1
386,25658_left.png,0
387,25716_right.png,0
388,25717_right.png,0
389,25787_right.png,0
390,25853_left.png,0
391,25948_right.png,0
392,25967_left.png,1
393,260_left.png,0
394,26064_right.png,1
395,26148_right.png,0
396,26217_left.png,1
397,26243_left.png,1
398,26270_right.png,0
399,26300_left.png,1
400,26340_left.png,0
401,26493_left.png,0
402,26509_right.png,1
403,2652_left.png,1
404,26541_left.png,1
405,26581_left.png,0
406,26594_left.png,1
407,26596_right.png,1
408,26601_right.png,1
409,26811_right.png,0
410,26820_left.png,1
411,26898_right.png,1
412,26944_left.png,0
413,26967_left.png,0
414,26986_left.png,0
415,26987_right.png,0
416,27028_left.png,0
417,27032_right.png,0
418,27112_left.png,1
419,27112_right.png,0
420,27165_left.png,1
421,27186_left.png,1
422,27194_right.png,1
423,27196_right.png,0
424,2724_left.png,0
425,27271_left.png,1
426,27278_left.png,1
427,27369_left.png,1
428,27413_left.png,1
429,27414_right.png,0
430,27430_right.png,0
431,27452_right.png,0
432,27541_left.png,0
433,27597_right.png,1
434,27616_left.png,0
435,2767_left.png,1
436,27676_right.png,0
437,27695_left.png,1
438,27759_left.png,1
439,27759_right.png,1
440,27807_left.png,0
441,27826_right.png,0
442,28007_left.png,1
443,28015_left.png,0
444,28113_left.png,1
445,28170_left.png,1
446,28375_left.png,1
447,28392_left.png,1
448,28405_right.png,1
449,28408_right.png,1
450,28409_left.png,0
451,2857_right.png,1
452,28573_left.png,0
453,28598_right.png,1
454,286_right.png,0
455,28607_right.png,1
456,28646_left.png,0
457,288_left.png,0
458,2886_right.png,0
459,2888_left.png,1
460,28975_right.png,0
461,29030_right.png,1
462,2908_right.png,0
463,29088_right.png,1
464,29096_left.png,0
465,29127_right.png,1
466,29299_left.png,0
467,29333_left.png,0
468,29333_right.png,1
469,2947_left.png,1
470,29484_left.png,1
471,29506_left.png,0
472,29516_left.png,0
473,29569_right.png,0
474,29599_left.png,1
475,29642_left.png,1
476,29661_right.png,1
477,29784_left.png,1
478,29823_left.png,1
479,29840_left.png,1
480,29925_right.png,0
481,29963_left.png,0
482,29965_left.png,0
483,30108_left.png,1
484,30231_right.png,0
485,30304_left.png,1
486,30360_right.png,0
487,30362_right.png,0
488,30396_right.png,0
489,30405_right.png,1
490,30413_left.png,1
491,30495_right.png,0
492,30573_right.png,0
493,30672_left.png,1
494,30747_right.png,1
495,30769_right.png,0
496,30831_right.png,1
497,30858_right.png,1
498,30899_left.png,1
499,30922_right.png,0
500,30935_left.png,0
501,30984_left.png,1
502,30984_right.png,1
503,30997_left.png,1
504,31000_left.png,0
505,31034_right.png,0
506,31043_right.png,1
507,31072_left.png,1
508,31089_left.png,0
509,31174_left.png,1
510,31183_right.png,1
511,31202_right.png,1
512,31219_left.png,0
513,31336_right.png,1
514,31465_left.png,0
515,31552_right.png,0
516,31591_right.png,0
517,31598_right.png,1
518,31620_left.png,0
519,31659_left.png,1
520,3174_right.png,0
521,31811_left.png,1
522,31863_left.png,0
523,31873_right.png,0
524,31945_right.png,1
525,3196_left.png,0
526,31965_left.png,1
527,31972_right.png,0
528,31976_right.png,1
529,31987_left.png,1
530,32024_right.png,1
531,32089_left.png,0
532,3220_left.png,1
533,32225_right.png,1
534,32230_right.png,1
535,32311_left.png,1
536,32358_left.png,0
537,32417_left.png,1
538,32418_left.png,0
539,32502_left.png,1
540,32502_right.png,1
541,32523_right.png,1
542,32635_right.png,0
543,32654_left.png,1
544,3266_left.png,1
545,3267_left.png,1
546,32675_right.png,0
547,32708_right.png,0
548,32712_left.png,1
549,32742_left.png,1
550,3275_right.png,1
551,32833_left.png,1
552,32844_right.png,1
553,32888_left.png,0
554,32943_left.png,0
555,3298_right.png,1
556,32980_left.png,0
557,32990_left.png,0
558,330_right.png,0
559,33033_left.png,1
560,33103_left.png,1
561,33123_right.png,0
562,33127_right.png,1
563,33132_left.png,1
564,33156_left.png,0
565,33156_right.png,0
566,33165_left.png,1
567,33251_left.png,0
568,33287_left.png,1
569,33337_left.png,0
570,33455_left.png,0
571,33498_left.png,0
572,33529_left.png,1
573,33529_right.png,1
574,33601_right.png,0
575,33655_left.png,1
576,33679_right.png,0
577,3382_right.png,1
578,33838_right.png,1
579,33853_right.png,0
580,33885_left.png,0
581,33921_left.png,0
582,33974_left.png,1
583,33974_right.png,1
584,3401_right.png,0
585,3405_left.png,1
586,34063_right.png,1
587,34078_left.png,1
588,34111_right.png,0
589,34152_left.png,1
590,34236_left.png,0
591,3429_left.png,1
592,34373_right.png,0
593,34390_right.png,0
594,34429_left.png,1
595,34449_left.png,1
596,34578_right.png,1
597,34593_right.png,0
598,34609_right.png,0
599,34830_right.png,0
600,34836_right.png,1
601,34860_left.png,0
602,34899_right.png,1
603,34913_left.png,1
604,34918_left.png,0
605,34952_left.png,1
606,35057_left.png,0
607,35082_left.png,0
608,35107_right.png,1
609,35127_left.png,1
610,35160_left.png,1
611,35160_right.png,1
612,35215_right.png,0
613,3525_left.png,1
614,3530_right.png,1
615,35316_right.png,0
616,35320_left.png,0
617,35322_right.png,0
618,35339_left.png,0
619,35402_right.png,0
620,35445_right.png,0
621,35580_right.png,0
622,35650_right.png,1
623,35699_right.png,1
624,3570_left.png,1
625,35704_left.png,0
626,35705_left.png,0
627,35737_right.png,0
628,35766_right.png,0
629,35767_left.png,1
630,35767_right.png,1
631,35840_right.png,0
632,35893_right.png,1
633,35941_left.png,1
634,36006_left.png,1
635,36024_left.png,1
636,3608_right.png,1
637,36192_right.png,0
638,36220_right.png,0
639,36375_right.png,1
640,3639_left.png,1
641,36426_left.png,1
642,36461_right.png,0
643,36717_right.png,0
644,36722_right.png,0
645,36824_left.png,1
646,36838_left.png,1
647,36852_right.png,1
648,36903_left.png,1
649,36910_right.png,0
650,36911_right.png,1
651,36921_left.png,0
