sentence1,sentence2,label,,,,
Male issues and I need a Male to talk to,I need a male to talk too,1,,,,
the past,"i have bad feet, and i have to take jobs like door dash and lyft and grub hub and instcart and dispatcher it",0,,,,
I feel like my gf is mad at me,"I feel like I'm being deceived in some way by someone I just began dating, it's making me anxious but I can't explain why as this person doesn't really have a significant impact on my life yet",1,,,,
feeling,i feel like nothing is real anymore,0,,,,
"I love my boyfriend, soon to be husband. I just don't think he's happy with me anynore .",I constantly think my kids would be better off without me.,0,,,,
boy friends,"bored male, i’m sad",0,,,,
my relationship makes me feel out of touch,marriage marriage issues,1,,,,
So telling him goodbye was as bad as it sounds . Getting a goodbye sounds worse . It was as if he breath me out no work no nothing just simple and meaning less .,I feel stressed out about relationships and i don’t know if I’ll ever have one,1,,,,
im going to fail,self harm,0,,,,
where or how can i make 'beer money' talking to strangers?,"1. the shift to online school is making me feel really stressed and upset. 2. i feel like i have some mental health problems but also am not sure what they are. 3. i feel unmotivated and lazy and just down, all the time.",0,,,,
she's pregnant,isolated and anxious,0,,,,
My BPD girlfriend just discarded me. I feel so low.,I'm addicted to pornography but I'm getting better. Any tips for staying clear from the thought of it?,0,,,,
lately i have less trust on my boyfriend and i start fights,my dog passed away quite some time ago now,0,,,,
"I'm not suicidal. I'm not capable of doing such an act on myself but if a bus is driving right at me, I wouldn't run.","My depression is mostly irritating after all these years, but still awful.",0,,,,
toxic relationship,im thinking about self harming,0,,,,
Surrounded by company but still feel alone.,"I am a survivor...a survivor of abuse!!   I survived abuse from the hands of my parents, in every sense of the word. How is one ever supposed to move on from that",0,,,,
"anxiety, stress",i want a man who can pay me,0,,,,
I'm a fucking veteran and got treated like shit by a fucking city cop? what the fuck I come home for!,Stressed about money,0,,,,
i'm there for my coworkers but they rarely help me when I need it.,"I hate school so much, I want to be sick so I don't have to go. I hope I get a fever",0,,,,
I don't feel like she loves me as much as she says she does,I feel like my gf is mad at me,1,,,,
i need help i'm 18 and struggling to get pregnant i've been trying for a year now,ocd,0,,,,
relationship,i am feeling very down due to debt of almost 4000 usd and the ones i have took loan from are on my neck for return there are also family issues and on top of all that iam a 28 years old heart patient,0,,,,
family problems,family disapprove,1,,,,
my husband makes me feel unwanted,letting go after divorce,1,,,,
i'm confused about my mental health.,"depression, loneliness, covid paranoia",1,,,,
I’m having relationship problems,Relationship issues,1,,,,
I faced a lot of homophobia today from people who I didn't even think were homophobic,My dad is racist,1,,,,
in pain,talk,0,,,,
my school makes me feel,"break up, break up issues",0,,,,
Having a bipolar Mom means I never know which Mom I get that day.,3 years ago I was diagnosed after 5 years of anorexia. My friends and family think I've moved past this but I really haven't.,1,,,,
friends are messing with me,"i am 16 and because i wanted to keep the wrong person in my life i might be pregnant  the condum broke, nice cute",0,,,,
My finance is looking pretty crappy right now!,I'm so depressed,0,,,,
i like this girl but idk what to say,relationship,0,,,,
My partner doesn't understand me.,If I'm not interested in him but am trying to get over someone should I still spend the weekend camping with his friends,1,,,,
My partner doesn't understand me.,I'm a fucking veteran and got treated like shit by a fucking city cop? what the fuck I come home for!,0,,,,
random topic,"there's so much bad stuff in the world, and it frustrates me that i'm not able to change it",0,,,,
erections,life,0,,,,
depression and anxiety,"anxiety, depression",1,,,,
i have this one guy that i have known for 2  years and we have been through alot i need some help with certain things,help,1,,,,
"my new boyfriend is giving me mixed signals he tells me he love me and wants to be together forever ect but the come out with comments like if u want to break up i will always be ur friend, then tell me he's coming over constantly text n ghost me find him confusing gut feeling he doesn't want me",i am confused about the feelings of my friend,0,,,,
personal,"my bosses are never at work when i am not sure what to do about the bullying and lack of support i'm getting right now , family abuse",0,,,,
Can someone figure out my sexuality for me because I can't,Stressed about money,0,,,,
my life makes me feel __drained __,fear of dentist,0,,,,
i feel dead,my life makes me feel,0,,,,
new thing,"i feel so lonely and sad i sent my girlfriend so many text she red them now but didn't respond , long distant relationship",0,,,,
"I'm so confused rn, I was hugging my close guy friend and all of a sudden he kisses me on my cheek and then kisses me on my neck! I had no clue how to react to this act of his but I liked the feeling. What should I do about this incident?",This depression is just getting worse... I feel no hope...,0,,,,
my stress makes me feel anxious,dealth,0,,,,
im struggling with mental health,"depression, hopelessness, dissociation, and anxiety",1,,,,
"tried to chat, heard from moderator but couldn't write back. system wouldn't accept anything i typed, need technical help.","i feel like i;m not good enough, i should die, i can't control my anger and everyone seems to be against me.",0,,,,
hot chat,teenager,0,,,,
"I am nervous, I don't know why. I can't live much longer. I want to die.","The abuse I'm going through is beginning to be unbareable, but I've got 1 more year until I can leave. No one helped me when I spoke up about it 4 years ago, no one will help me now.",0,,,,
my life makes me feel,i cant sleep,0,,,,
frustrated,hi.. i'm having bad feeling about myself,1,,,,
