text,tags,
i have a 35 year old son staying with me. he has been since this covid thing started.  he does not work.  is it bad of me to want him to leave?  i am just wanting my apartment back.  he is not contributing to the bills,family,
these mask. trying to work and be happy but can't breathe.,work,
check on my stimlus check,money,
feeling as if i’m not needed at work,work,
"financial, saving, budgeting",money,
stress and drinking.,medical,
lights & rent & my car fixed and legal & the internet ,money,
moved to a different county put in transfer paperwork but he put in my record i was terminated  this keeps me from transfer ing to new store. stress ful. hr screwed up my paperwork,emotional,
work makes me feel anxious,work,
my work makes me feel stressed__,work,
credit card debt,money,
eating disorder,medical,
i'm down because i'm seperated and i don't live with my kids anymore,family,
unappreciative,emotional,
"my kids are grown doing there own thing, i am a workaholic. and is tired.what,where,when, and who am i???",work,
"i work in produce but have no hand sanitizer since this started,no sanitary wipes for carts ..i’m 60  have copd,oxygen at night and do not feel safe but can’t afford to stay home without pay...",work,
covid-19 virus,medical,
my stress makes me feel __scared & kinda angry __,emotional,
our store was looted on may 31 i've been on leave but i'm afraid to go back tomorrow,work,
arteritis,medical,
"i'm upset and angry about customers not wearing facial covering. i want this to be over so i can spend time with my youngest daughter. she has stage 4 breast cancer. her prognosis was 3 years. on january 2, 2018. this could be my last year with her and i can't be with her due to exposure at work.",emotional,
are all walmart going to close for 2 week,work,
out sick with a fever my boss is needing me to do the health check and i can not find it any where?,medical,
my pto is habitually denied i have to use call ins to see my gf so now i don't get a raise but i do good work and have to help or clean up after others,work,
i just got a job but is too fat from my house only way i can get to it is with a bicycle cause i dont have a car,emotional,
how do fine out how to take leave. my knee might need surgery,work,
lots going in my life need to talk about,emotional,
getting help and support for domestic violence victims and survivor,emotional,
i'm feeling a bit down today.  i'm extremely nervous and i'm worried about a bad breast exam. i'm not sure i will go through all the cancer and being sick . i just don't think i can take it,emotional,
in a extremely a lot pain in my knees! the doctor says too get on disabilty but the social sercurity says if u make more 1.200.00 that you can’t get it,medical,
my work makes me feel like i aint making enough.. due to my werkly rental.._,work,
my stress makes me feel tired,emotional,
i've been on leave since may and doing the time i'm on the way. i did not receive any of my company bonuses,money,
